# form	pos	sources — entries in no book, holding up nothing
# tools/prune.py
сердебелеу	v	kazdict
сердюков	np	apertium
середек	adj	kazdict
серектен	v	kazdict
серектену	?	kazdict
серене	?	kazdict
серете	n	kazdict
серею	?	baseline
сереңдеу	?	baseline
серкештеу	?	kazdict
серлету	v	kazdict
серлеу	v	kazdict
сермелеу	?	baseline
серметті	?	kazdict
сернеші	n	kazdict
серология	n	apertium
сероса	n	apertium
серотерапия	n	apertium
серпантин	n	apertium
серпантиндік	adj	apertium
серпентарий	n	kazdict
серпілмелі	adj	apertium,baseline
серпіндеу	?	baseline
серсаумалдану	v	kazdict
сертификатынсыз	?	baseline
сертию	v	kazdict
сертпе	n	kazdict
серттену	?	kazdict
сертшілдік	?	baseline
серулену	v	kazdict
серулік	?	baseline
серфинг	n	apertium
серфингист	n	apertium
серхед	np	apertium
серхетяка	np	apertium
серхио	np	apertium
серіктестіру	?	kazdict
серіктұр	np	apertium
серімсу	?	baseline
серісіну	?	baseline
серіңүледі	?	kazdict
серғалиұлы	np	apertium
сесилия	np	apertium
сескенпаз	adj	kazdict
сескеншекте	?	baseline
сескеншектеу	?	baseline
сестрорецк	np	apertium
сесінді	?	kazdict
сетерлеу	?	kazdict
сетнеров	np	apertium
сетов	np	apertium
сету	v	baseline,kazdict
сетілу	?	kazdict
сетінеу	?	baseline,kazdict
сеулетші	n	apertium
сефардтар	?	kazdict
сефира	?	kazdict
сеченев	np	apertium
сечішді	?	kazdict
сешді	?	kazdict
сешлінді	?	kazdict
сештүрді	?	kazdict
сешілген	?	kazdict
сешүді	?	kazdict
сешүк	?	kazdict
сеңек	?	kazdict
сеңрегү	?	kazdict
сеңіл	?	kazdict
сианашұрым	?	kazdict
сигектей	?	baseline
сигектеу	?	baseline
сигиллография	n	apertium
сигнализатор	?	baseline
сигнификатум	?	kazdict
сигран	?	kazdict
сигтуна	np	apertium
сидалану	?	baseline
сидам-сидам	adj	kazdict
сидамда	?	baseline
сидамдан	?	baseline
сиданко	np	apertium
сидақтау	v	baseline,kazdict
сидаңдану	v	kazdict
сиддхарта	n	apertium
сидию	?	baseline
сидорочев	np	apertium
сидрату-л-мунтаһа	?	kazdict
сидяков	np	apertium
сизаль	n	apertium
сий	?	kazdict
сийахат	?	kazdict
сиккативтер	?	kazdict
сикхизм	n	apertium
силенко	np	apertium
силикагель	n	apertium
силикон	n	apertium
силистра	np	apertium
сильвана	np	apertium
сильвано	np	apertium
сильви	np	apertium
сильвэйн	np	apertium
сильнов	np	apertium
симабдай	?	kazdict
симазин	n	kazdict
символикалы	adv	apertium
сименс	np	apertium
симонетта	np	apertium
симония	n	apertium
симпа	n	apertium
симплекс	?	kazdict
симптоматика	n	apertium
симрұғ	?	kazdict
симус	np	apertium
симьянов	np	apertium
сингаку	n	apertium
сингалша	adv	apertium
сингэки	n	apertium
синдикалисші	n	apertium
синекдохалар	?	baseline
синекдохалық	adj	kazdict
синергетикалық	adj	apertium
синергия	n	apertium,kazdict
синестезия	?	kazdict
синкокучэки	n	apertium
синонимдестік	n	kazdict
синонимділік	n	apertium
синонимика	?	baseline
синташта	adj	apertium
синтезатор	n	apertium
синтезділік	n	kazdict
синтия	np	apertium
синхрондау	n	apertium
синхронизатор	n	apertium
синхронизация	n	apertium
сипалаңда	v	kazdict
сипалаңдау	?	kazdict
сипағышта	?	baseline
сипақтау	?	baseline
сипаһигарчилик	?	kazdict
сиприен	np	apertium
сирекбас	?	baseline
сиректендір	v-trans	apertium
сиректену	?	kazdict
сиректет	?	baseline
сиреткіш	?	baseline
сиреттір	?	baseline
сироп	n	apertium,baseline
ситалл	?	kazdict
ситты	?	kazdict
ситтұрды	?	kazdict
ситх	np	apertium
сифилидология	n	apertium
сихотэ-алинь	np	apertium
сиырбүйректен	v	kazdict
сиырбүйректену	?	kazdict
сиырбүлдірген	?	baseline,kazdict
сиырбұршақ	?	baseline
сиыржоңышқа	n	apertium,baseline
сиыртаңдайлану	?	kazdict
сиыршылау	?	baseline
сиырқұйымшақтал	v	kazdict
сиырқұйымшақталу	?	kazdict
сиырқұйымшақтандыру	?	kazdict
сиырқұйымшақтану	?	kazdict
сиықсыздандыру	?	kazdict
сиязбек	np	apertium
сиялан	?	baseline
сиялау	?	baseline
сиясорғыш	n	kazdict
сиғмас	?	kazdict
сиқат	n	kazdict
сиқырлат	?	baseline
сиқыршыша	adv	kazdict
сиұрғал	?	kazdict
скагеррак	np	apertium
скай	np	apertium
скаляр	n	apertium
сканер	n	apertium
сканерлеу	n	apertium
скарификация	n	apertium
скарификациялау	n	apertium
скатов	np	apertium
скаутизм	?	kazdict
скейтер	n	apertium
ски-пасс	?	kazdict
скоция	?	kazdict
скоша	np	apertium
скраб	n	apertium
скрепка	n	apertium
скрининг	?	baseline,kazdict
скутер	n	apertium
славо-сербия	np	apertium
слайдкөрсетілім	n	apertium
слалом	n	apertium
слатнов	np	apertium
слетші	?	baseline
слетінен	?	baseline
слип	?	kazdict
словакиялық	adj	apertium
словакше	adv	apertium
словенше	adv	apertium
слётші	n	kazdict
слётшілеп	adv	kazdict
сләмқұлов	np	apertium
смарт-карта	?	kazdict
смартфон	n	apertium
смолала	v-trans	apertium,baseline
смолов	np	apertium
смолян	np	apertium
смородинов	np	apertium
смыр	np	apertium
смятон	np	apertium
сникерснуть	?	kazdict
снонетта	np	apertium
сноуборд	?	kazdict
собал	adj	kazdict
собалақтау	adj	kazdict
собчак	np	apertium
собықтану	?	baseline
собықты	adj	kazdict
собықша	?	baseline
собұшған	?	kazdict
советбек	np	apertium
советжан	np	apertium
советтену	?	baseline
советқан	np	apertium
совхозаралық	adj	kazdict
совхозшы	n	kazdict
содалан	v	kazdict
содалану	?	kazdict
содана	n	baseline,kazdict
содырлан	v-intrans	apertium,baseline
созалаңқылық	n	apertium,baseline
созақтау	?	baseline
созбайлау	?	baseline
созбауыт	adj	kazdict
созбақтау	?	baseline,kazdict
созылмыш	adj	kazdict
созылымдылық	?	baseline,kazdict
созымтал	adj	apertium,baseline
созымталдық	?	baseline
созынды	?	baseline
созғышта	?	baseline
созғыштау	?	baseline
соиау	?	kazdict
сойдақталу	?	kazdict
сойдақтан	?	baseline
сойдаңдат	?	baseline
сойдит	?	baseline
сойдию	?	baseline
сойдырман	v	kazdict
сойшаңғы	n	kazdict
сойылгерлік	adj	kazdict
сойылдат	?	baseline
сойылдату	?	kazdict
сойылдау	?	baseline
сойылшаң	n	kazdict
сойылшылдық	n	kazdict
сойымдық	?	baseline
сойымпаз	?	baseline
сойғақтау	v	kazdict
сойғылау	?	baseline
сойқандал	?	baseline
сойқандау	?	baseline
сойқау	v	kazdict
сойұб	?	kazdict
сойұлды	?	kazdict
сойұшды	?	kazdict
сойұқты	?	kazdict
сокпаппет	?	kazdict
солайда-солай	adv	kazdict
соламұқ	?	kazdict
солана	np	apertium
солатындық	n	kazdict
солақайлан	?	baseline
солаңдау	?	baseline
солб	?	kazdict
солбақта	?	baseline
солбаңда	?	baseline
солбаңдау	v	baseline,kazdict
солбырау	?	kazdict
солбыраю	?	baseline
солбырлық	?	baseline
солдатбек	np	apertium,kazdict
соленоид	n	apertium
соло-вексель	n	apertium,kazdict
соловьёв	np	apertium
солпит	?	baseline
солпию	?	baseline
солпылда	?	baseline
солпылдау	?	baseline
солтақтау	?	baseline
солтақтық	n	kazdict
солтүстік-батыс	adj+adv+n	apertium
солтүстік-сахалиндік	adj	apertium
солтүстік-шығыс	adj+adv+n	apertium
солтүтік-шығыс	adj	apertium
солықтаушылық	n	kazdict
солыңқылық	?	baseline
солұщды	?	kazdict
солһ	?	kazdict
сом-сом	adj	kazdict
сомалау	?	kazdict
сомалилық	n	apertium
сомбал	n	kazdict
сомбел	np	apertium,kazdict
сомдардың	?	baseline
сомпаю	v	kazdict
сомсыну	?	kazdict
сонарлау	v	baseline,kazdict
сонаршыл	adj	kazdict
сонауда-сонау	adv	kazdict
сонақ	n	kazdict
сондай-ақ	conj	apertium
сондайтұғын	adj	kazdict
сонко	np	apertium
сонограмма	n	apertium
сонылату	?	kazdict
сонырқалау	?	kazdict
сонырқалағыш	adj	kazdict
сонырқалағыштық	n	kazdict
сонырқат	?	baseline
сооно	abbr	apertium
сопандат	?	baseline
сопандау	?	baseline
сопаю	?	baseline
сопақшалан	?	kazdict
сопақшалану	?	kazdict
сопбөрік	n	kazdict
сопит	?	baseline
сопию	?	baseline
сополимер	n	apertium
сопроцессор	n	apertium
сопысыну	?	baseline
сопышылсын	v	kazdict
сор-сапар	n	kazdict
сор-қайғы	n	kazdict
сора-сора	n	kazdict
сораба	n	baseline,kazdict
сорап-сорап	?	kazdict
сораю	?	baseline,kazdict
сорағыту	v	kazdict
сорақай	adj	kazdict
сорақылан	v-intrans	apertium,baseline
сорақырақ	adj	kazdict
сораңдат	?	baseline
сораңдау	?	baseline,kazdict
сораңыт	?	baseline
сораңыту	v	kazdict
сорбақта	?	kazdict
сорботқа	n	baseline,kazdict
сорбуын	n	kazdict
сордыр	?	baseline
сорит	?	kazdict
сория	np	apertium
сорлану	?	baseline
сорошоған	?	baseline
сорпалау	?	baseline
сорпылда	?	baseline
сорпылдау	?	baseline
сортандан	?	baseline
сортақым	adj	kazdict
сортаңдық	?	baseline
сортаңсыз	adj	kazdict
сортаңшөп	?	baseline
сорттат	?	baseline
сорттаушы	n	apertium
сорттық	?	baseline
сортұрды	?	kazdict
соруғшы	?	kazdict
сорылу	n	apertium
сорығу	v	baseline,kazdict
сорықтыр	?	baseline
сорғытыл	?	baseline
сорғыштау	?	baseline
сорғыштық	?	baseline
сорғұ	?	kazdict
сорқаңбақ	?	baseline
сорүғ	?	kazdict
сорұтты	?	kazdict
сорұшды	?	kazdict
сорұқты	?	kazdict
сотан	n	kazdict
соттастыр	v-trans	apertium
сотқарлану	?	baseline
сотқыр	n	apertium
соума	?	kazdict
софит	?	kazdict
социал-дарвинизм	?	kazdict
социал-демократия	n	apertium
социобиология	n	apertium,kazdict
социометрия	?	kazdict
соционика	n	apertium,kazdict
социотип	n	apertium
сошытты	?	kazdict
союзмультфильм	n	apertium
сояу-сояу	adj	kazdict
сояулану	?	baseline
соғрашды	?	kazdict
соғуқланды	?	kazdict
соғыды	?	kazdict
соғымдау	?	kazdict
соғындыр	v	kazdict
соғып-соғып	adv	kazdict
соғыскер	n	kazdict
соғыстырт	?	kazdict
соғыстырту	?	kazdict
соғұлды	?	kazdict
соғұлған	?	kazdict
соғұн	?	kazdict
соғұнды	?	kazdict
соғұнлұғ	?	kazdict
соғұт	?	kazdict
соғұқлық	?	kazdict
соқалау	v	baseline,kazdict
соқар	?	kazdict
соқақлығ	?	kazdict
соқақта	v	kazdict
соқақтау	?	kazdict
соқды	?	kazdict
соқи	?	baseline
соқию	v	kazdict
соқрұ	?	kazdict
соқсыздық	?	baseline
соқталандыр	?	kazdict
соқталандыру	?	kazdict
соқталану	?	kazdict
соқталас	?	kazdict
соқталасу	?	kazdict
соқталау	?	baseline
соқтұ	?	kazdict
соқтұрды	?	kazdict
соқылдат	v-trans	apertium
соқыр-мылқау	adj	kazdict
соқырай	?	baseline
соқыраю	?	kazdict
соқыртышқан	?	baseline
соқыртұма	n	kazdict
соққандайын	adj	kazdict
соққылат	?	baseline
соққыштау	?	baseline
соқұ	?	kazdict
соқұлды	?	kazdict
соқұм	?	kazdict
соқұшды	?	kazdict
соңдады	?	kazdict
соңрады	?	kazdict
соңыдын	?	kazdict
спам	?	kazdict
спамбетов	np	apertium
спартакиадалық	?	baseline
спартакиядасын	?	baseline
спбму	abbr	apertium
спектрограмма	n	apertium
спектрометр	n	apertium,baseline
спектрометрия	n	apertium
спектроскоп	n	apertium
спектрофотометр	n	apertium
спектрофотометрия	n	apertium
сперматогоний	n	apertium
сперматоцит	n	apertium
спецификатор	n	apertium
спиваков	np	apertium
спикерден	?	baseline
спинет	n	apertium
спиридович	np	apertium
спирттеу	?	baseline
спленомегалия	n	apertium
спонсорлық	adj	apertium
спорадикалы	adv	apertium
спорангий	n	apertium
споровик	n	apertium
спорофит	n	apertium
спот-тауар	?	kazdict
спред	?	kazdict
спринт	?	baseline
спринтер	?	baseline
спринтерлік	?	baseline
спрэд	?	kazdict
спрэй	n	apertium
стабилизатор	?	baseline
ставрос	np	apertium
стадиондарын	?	baseline
стадияларында	?	baseline
стайер	?	baseline
стаккато	n	apertium
сталбек	np	apertium
сталкер	n	apertium
сталлоне	np	apertium
стамбха	?	kazdict
стандарттаушы	n	kazdict
стандарттылық	?	baseline
станимир	np	apertium
станислас	np	apertium
станокшы	n	kazdict
стапель	n	apertium
стародубцев	np	apertium
стартап	?	kazdict
старченко	np	apertium
старшов	np	apertium
старшындас	adj	kazdict
статизм	n	apertium
статор	n	apertium
стационарларда	?	baseline
ствакасы	?	baseline
ствакасын	?	baseline
ствакасына	?	baseline
ствакасынан	?	baseline
ствакасының	?	baseline
стеблов	np	apertium
стейк	n	apertium
стейтмент	?	kazdict
стендап	?	kazdict
стеникапық	?	kazdict
стенографияла	?	baseline
стенографиялат	?	kazdict
стенографиялау	?	baseline,kazdict
стенокардия	n	apertium
стенотипия	n	apertium
степендианттарға	?	baseline
стерадиан	n	apertium
стереобат	?	kazdict
стереовизор	n	kazdict
стереоскоп	n	apertium,baseline
стереотипия	n	apertium
стереофильм	?	baseline
стереохимия	n	apertium
стержен	n	kazdict
стероид	n	apertium
стеттиниус	np	apertium
стеуде	?	baseline
стеф	np	apertium
стефани	np	apertium
стефания	np	apertium
стефано	np	apertium
стехиометрия	n	apertium
стивидор	?	kazdict
стигмергия	?	kazdict
стикер	n	apertium
стирия	np	apertium
стифонов	np	apertium
сток-нот	?	kazdict
стратегиялы	adv	apertium
стратонов	np	apertium
стратопауза	n	apertium
стратосфералық	?	baseline
стрекозов	np	apertium
стрептококк	n	apertium
стрингер	?	kazdict
стрип	np	apertium
струнников	np	apertium
стручков	np	apertium
студеница	np	apertium
студентшілеп	adv	kazdict
студенцов	np	apertium
студком	n	kazdict
стэн	np	apertium
стюардтік	?	kazdict
су-ана	n	kazdict
суазиланд	np	apertium
суаит	?	baseline
суалтыл	?	baseline
суармалау	v	kazdict
суаршын	n	kazdict
суарылмақшы	adj	kazdict
суатқыш	n	apertium
суауру	?	baseline
суауруы	n	kazdict
суахилише	adv	apertium
суағарланып	v	kazdict
субалды	?	kazdict
субалдыр	?	baseline
субанов	np	apertium
субвенцияларды	?	baseline
субвенциялардың	?	baseline
субдукция	n	apertium
субетеге	?	baseline
субидайық	?	baseline
сублағ	?	kazdict
субмарина	n	apertium
субмекен-жай	n	apertium
субмердігерлік	n	apertium
субмәдениет	?	kazdict
субмәдениеттер	?	kazdict
субота	n	kazdict
субрегион	n	apertium
суброгация	n	apertium,kazdict
субстантивтік	adj	apertium
субструктура	?	kazdict
субтропиктер	?	baseline
субурбанизация	n	apertium,kazdict
субухйиан	?	kazdict
субыды	?	kazdict
субүлдірген	n	apertium
субұрыш	?	baseline
субұқасы	n	kazdict
сувалды	?	kazdict
сувланды	?	kazdict
сувлаң	?	kazdict
суворовшы	?	baseline
сувсатты	?	kazdict
суггестия	?	kazdict
судоку	n	apertium
судхар	?	kazdict
судырау	?	baseline
судырлау	?	baseline,kazdict
судья-сүмелек	n	kazdict
сужелкек	n	apertium,baseline
сужетек	n	apertium,baseline
сужүректен	v	kazdict
сужүректену	?	kazdict
сужұлдыз	?	baseline
суицидтік	adj	apertium
суйін	np	apertium
сукре	np	apertium
сукт	?	kazdict
сукүзені	n	kazdict
сукәмек	n	kazdict
сукөрік	?	baseline
сулант	?	baseline
сулиманов	np	apertium
сульфаниламид	n	apertium
сульфидин	n	kazdict
сумақайлық	n	baseline,kazdict
сумаңдау	?	baseline
сумитомо	np	apertium
сумлім	?	kazdict
сундарбан	np	apertium
суоты	?	baseline
супердивиденд	?	kazdict
супержүлде	n	apertium
суперинтендант	?	kazdict
суперкадрлар	?	kazdict
суперкомпьютер	?	baseline
суперконтинент	n	apertium
суперэго	?	kazdict
суперқұрылым	?	kazdict
супияз	?	baseline
суппозитория	n	apertium
супхиль	?	kazdict
сураһ	?	kazdict
сургаал	?	kazdict
сурдопедагог	n	apertium
сурдопедагогика	?	kazdict
сурдопсихология	?	kazdict
сурепка	?	baseline
суретсипат	n	apertium
суреттемелі	adj	apertium
суреттемпаз	adj	kazdict
суреттемпаздық	n	kazdict
сурма	?	kazdict
суруш	?	kazdict
сурх	?	kazdict
сурғача	?	kazdict
сусамырша	adv	kazdict
сусанино	np	apertium
сусарғалдақ	?	baseline
сусауық	adj	kazdict
сусағыш	adj	kazdict
сусепкіш	?	baseline
сусоқта	?	kazdict
суст	?	kazdict
сусу	?	baseline
сусыздандыру	n	apertium
сусыздану	?	baseline
сусындану	?	baseline
сусындаттыр	?	kazdict
сусырау	?	baseline
сусырғанақ	n	kazdict
сусімір	?	baseline
сусіңіргіштік	n	kazdict
сутартар	?	baseline
сутартқыштық	?	baseline
сутаған	n	apertium,baseline
сутексіздендіру	n	apertium
сутектендіру	n	apertium
суторғай	n	kazdict
сутіл	n	apertium
суфла	?	kazdict
суханчин	?	kazdict
суховерхов	np	apertium
сучушды	?	kazdict
сушайлы	adj	kazdict
сушаруашылығы	?	apertium
сушаруашылық	n	apertium
сушыды	?	kazdict
сушылдық	?	baseline
сушылқара	?	baseline,kazdict
суылдыр	n	baseline,kazdict
суындал	?	kazdict
суындау	?	kazdict
суырдайын	adj	kazdict
суыроты	?	baseline
суыртпақша	adv	kazdict
суырыпсалып	?	baseline
суытаяқ	adj	kazdict
суытаяқты	adj	kazdict
суытаяқтық	n	kazdict
суытпала	v	kazdict
суытпалау	?	kazdict
суытыс	?	baseline
суытқыш	?	baseline
суығыстырғыш	?	kazdict
суықбауырлау	adj	kazdict
суықсырат	?	baseline
суықсырау	?	baseline
суықтат	?	baseline
суішерлік	?	kazdict
суғарыб	?	kazdict
суқабақ	?	baseline
суқай	?	kazdict
суқалбыр	n	kazdict
суқарақұс	?	baseline,kazdict
суқата	n	kazdict
суқиғыш	n	kazdict
суқорығыш	n	kazdict
суқоңыз	?	kazdict
суқы	v	kazdict
суқыды	?	kazdict
суқылдат	?	baseline
суқылдату	?	baseline
суқұзғын	?	baseline
суқұюшы	n	kazdict
суұшық	n	kazdict
суөткізгіштік	?	kazdict
сфеноид	n	apertium
сфероид	n	apertium
сфинктер	n	apertium
сценариші	n	apertium
сцениялық	adj	apertium
сцеңарий	?	baseline
сцеңарийші	?	baseline
сциентизм-антисциентизм	?	kazdict
сыбай-салтаң	?	kazdict
сыбалаңқы	adj	kazdict
сыбандыр	v-trans	apertium,baseline
сыбант	?	baseline
сыбдырат	?	baseline
сыбдырау	?	baseline
сыбызғылату	?	kazdict
сыбызғылау	?	kazdict
сыбызғұ	?	kazdict
сыбылық	adj	kazdict
сыбылықта	v	kazdict
сыбылықтау	v	kazdict
сыбылыңқы	adj	kazdict
сыбыр-сыбыр	n	kazdict
сыбыршы	n	kazdict
сыдзрылды	?	kazdict
сыдзты	?	kazdict
сыдзырған	?	kazdict
сыдзығ	?	kazdict
сыдрым	?	kazdict
сыдрышды	?	kazdict
сыдырмалату	v	kazdict
сыдыртқы	n	kazdict
сыдырымталау	?	kazdict
сыдырық	n	kazdict
сыдырыңды	?	baseline
сыдырғақ	?	kazdict
сыдырғыш	?	kazdict
сызамық	?	baseline
сызаттану	?	baseline
сызбазда	?	baseline
сызбауыр	adj	kazdict
сызбашы	n	apertium
сызбақтау	v	kazdict
сызданыс	?	kazdict
сызданысу	?	kazdict
сызданыңқырау	?	kazdict
сыздаңқыра	v	kazdict
сыздаңқырау	?	kazdict
сызди	?	kazdict
сыздықтану	?	baseline
сыздықтау	?	kazdict
сызлады	?	kazdict
сызлатты	?	kazdict
сызлағ	?	kazdict
сызып-сызып	v	kazdict
сызытсыз	adj	kazdict
сызытты	?	kazdict
сызықтау	?	baseline
сызғылау	?	kazdict
сызғыру	v	baseline,kazdict
сызғұрды	?	kazdict
сыи	?	baseline
сый-сияпат	n	kazdict
сый-құрмет	n	kazdict
сыйақыларды	?	baseline
сыйпаңда	v-intrans	apertium
сыйыспаушылық	?	baseline
сыйыңқырау	?	kazdict
сыйқалы	adj	kazdict
сылалану	v	kazdict
сылаттыр	?	kazdict
сылағыш	n	apertium
сылақтау	?	baseline
сылақшылық	?	baseline
сылбу	v	baseline,kazdict
сылбы	n	baseline,kazdict
сылбырау	?	baseline
сылбырлан	?	baseline
сылдырау	?	baseline
сылдырауық	n	apertium
сылдырақ	n	apertium,baseline
сылдыршөп	?	baseline
сылпылдау	?	baseline
сылпыту	?	kazdict
сылтауратқандарыңызды	?	baseline
сылтаушыл	?	baseline
сылтыңшыл	adj	kazdict
сылтыңқой	adj	kazdict
сылыс	?	baseline
сылқию	v	baseline,kazdict
сылқылдау	v	baseline,kazdict
сылқымдану	?	baseline
сылқымсу	?	kazdict
сылқымсы	v	kazdict
сылқыту	v	baseline,kazdict
сым-темір	n	apertium
сымайылау	?	kazdict
сымағызам	?	kazdict
сымбалдау	v	baseline,kazdict
сымбар	adj	kazdict
сымбарлау	v	kazdict
сымбаттал	?	baseline
сымбаттас	adj	kazdict
сымбырлас	?	baseline
сымбырлау	v	baseline,kazdict
сымдана	n	kazdict
сымпию	v	baseline,kazdict
сымпылдау	?	baseline
сымпылдақ	?	baseline
сымпыстан	?	baseline
сымпыстану	v	baseline,kazdict
сымпыстау	adj	kazdict
сымпыңда	?	baseline
сымпыңдау	?	baseline
сымтетік	n	apertium
сымыр	n	kazdict
сымқұрт	?	kazdict
сын-пікір	n	apertium
сын-ұсыныс	n	kazdict
сынадылар	?	kazdict
сынампаздық	n	kazdict
сынап-күн	n	kazdict
сынақтау	?	baseline
сындарлан	v	kazdict
сындарлану	?	kazdict
сындыбай	np	apertium,kazdict
сындырмала	v	kazdict
сындырмалау	?	kazdict
сындырым	?	baseline
сындұрұб	?	kazdict
сынушылық	n	apertium
сыныбымен	?	baseline
сыныптама	?	baseline
сыныптаманың	?	baseline
сыныптамасы	?	baseline
сыныптамасына	?	baseline
сыныптамасында	?	baseline
сыныптамасының	?	baseline
сыныптастыру	?	kazdict
сыныптаушысы	?	baseline
сынысу	v	kazdict
сынықсу	?	baseline
сынғақтық	n	kazdict
сып-сидам	adj	kazdict
сыпа-жай	n	kazdict
сыпа-сері	adj	kazdict
сыпайылану	?	kazdict
сыпайысу	?	baseline,kazdict
сыпаша	n	kazdict
сыпақыр	n	kazdict
сыпақұр	?	kazdict
сыпаһ	?	kazdict
сыпсыңдау	v	baseline,kazdict
сыпсыңдық	n	kazdict
сыпталу	v	kazdict
сыпти	?	baseline
сыптию	v	baseline,kazdict
сыпша	n	kazdict
сыпылдау	?	baseline
сыпырдақ	?	baseline
сыпырып-сиыру	?	kazdict
сыпырып-сиырып	adv	kazdict
сыпырғыштау	?	baseline
сыпыс	adj	kazdict
сыр-дастан	n	kazdict
сыралатқыз	?	kazdict
сыралқы	n	baseline,kazdict
сырашыл	adj	kazdict
сырбаздану	v	kazdict
сырбаздау	v	baseline,kazdict
сырбар	np	apertium
сырбөртпе	n	kazdict
сырдамал	n	kazdict
сырдақтат	?	baseline
сырдақтау	?	baseline
сырдескі	adj	kazdict
сыриту	v	kazdict
сыркүріш	n	kazdict
сырлану	v	kazdict
сырмалау	?	kazdict
сырмашы	n	kazdict
сырмақтау	?	kazdict
сырмақша	?	baseline
сырмінезді	adj	kazdict
сырмұхамбет	np	apertium,kazdict
сырнайлату	?	baseline
сырнайсыз	adj	kazdict
сырнау	n	kazdict
сырнығу	v	kazdict
сырп-сырп	adj	kazdict
сырпылдақ	n	kazdict
сырт-сырт	?	kazdict
сыртаңқыра	v	kazdict
сыртаңқырау	?	kazdict
сыртбақай	adj	kazdict
сырткиім	n	kazdict
сыртсыз	adj	apertium
сырттандық	?	baseline
сырттансу	?	baseline
сырша	n	kazdict
сыршай	n	kazdict
сырыды	?	kazdict
сырымтық	?	kazdict
сырыншан	n	kazdict
сырысу	?	kazdict
сырышды	?	kazdict
сырышға	?	kazdict
сырықтау	v	kazdict
сырғабек	np	apertium,kazdict
сырғалат	v	kazdict
сырғалату	?	kazdict
сырғалау	v	baseline,kazdict
сырғанақтат	?	baseline
сырғанақтау	?	baseline
сырғаяң	adj	kazdict
сырғақбай	adj	kazdict
сырғақсу	?	baseline
сырғуаң	adj	kazdict
сырғылым	n	apertium
сырқаттанғыш	adj	kazdict
сырқыңды	?	baseline
сырұқ	?	kazdict
сырұқлық	?	kazdict
сыту	v	kazdict
сытылу	?	baseline
сытырлау	?	baseline
сытғадь	?	kazdict
сытғалды	?	kazdict
сытғанды	?	kazdict
сытғашды	?	kazdict
сытұрды	?	kazdict
сыхтатты	?	kazdict
сыхташты	?	kazdict
сычқанның	?	kazdict
сышды	?	kazdict
сыштұрды	?	kazdict
сышылды	?	kazdict
сышытты	?	kazdict
сығайлау	v	baseline,kazdict
сығды	?	kazdict
сығзады	?	kazdict
сығзалды	?	kazdict
сығзығ	?	kazdict
сығмадылар	?	kazdict
сығра	?	kazdict
сығрұшды	?	kazdict
сығтады	?	kazdict
сығтұрды	?	kazdict
сығылушылық	n	apertium
сығылғыш	adj	kazdict
сығылғыштық	n	baseline,kazdict
сығымдап-сығымдап	adv	kazdict
сығындылар	?	kazdict
сығыну	v	kazdict
сығыраю	?	baseline,kazdict
сығырдаң	adj	kazdict
сығырллды	?	kazdict
сығырлығ	?	kazdict
сығыршық	?	kazdict
сығыстыру	?	baseline
сығыстырыл	?	baseline
сығысу	?	baseline
сығұн	?	kazdict
сығұрды	?	kazdict
сықалаб	?	kazdict
сықасу	v	baseline,kazdict
сықау	v	baseline,kazdict
сықаурын	n	kazdict
сықақтал	?	baseline
сықақшылық	n	kazdict
сықды	?	kazdict
сықиту	v	kazdict
сықию	v	kazdict
сықлышды	?	kazdict
сықман	?	kazdict
сықпалау	?	baseline
сықпалы	adj	kazdict
сықпар	adj	kazdict
сықпарла	?	baseline
сықпарлау	?	baseline
сықпақтау	v	kazdict
сықпыи	?	kazdict
сықпырлық	n	kazdict
сықпытсыз	adj	kazdict
сықпытсыздық	n	kazdict
сықрышды	?	kazdict
сықсию	?	baseline
сықсырай	?	baseline
сықсыңдау	?	baseline,kazdict
сықтыр	?	baseline
сықтұрды	?	kazdict
сықызша	n	apertium
сықылдану	?	baseline
сықырқан	?	kazdict
сықыш	?	kazdict
сықышды	?	kazdict
сыңарезулеу	adj	kazdict
сыңаржақтан	v	kazdict
сыңаржақтану	?	kazdict
сыңарлады	?	kazdict
сыңарсұқ	?	kazdict
сыңартық	n	kazdict
сыңылады	?	kazdict
сыңғақ	?	baseline
сыңғақтал	?	baseline
сыңғыту	v	kazdict
сыңқыл-сылтың	n	kazdict
сыңұқ	?	kazdict
сьван	np	apertium
сьюдад-пердида	np	apertium
сьюдад-хуарес	np	apertium
сэл	np	apertium
сэсто	np	apertium
сюжетсіздік	n	kazdict
сюрвейер	?	kazdict
сюрреалисші	n	apertium
сёгун	n	apertium
сібе-солаң	n	kazdict
сібек	n	kazdict
сібелді	?	baseline
сібелесу	v	kazdict
сіберлеу	v	kazdict
сібіз	?	kazdict
сібірлеу	?	baseline,kazdict
сігіл	?	kazdict
сідзік	?	kazdict
сідір	?	kazdict
сідің	?	kazdict
сідүк	?	kazdict
сізлеттім	?	kazdict
сікті	?	kazdict
сіктүрді	?	kazdict
сікілді	?	kazdict
сікітті	?	kazdict
сікіш	?	kazdict
сікішді	?	kazdict
сілбе	n	kazdict
сілбелі	adj	kazdict
сілбу	adj	kazdict
сілбуле	v	kazdict
сілбулеу	?	kazdict
сілбілен	?	kazdict
сілбілену	?	kazdict
сілбілеу	v	baseline,kazdict
сілеберсін	n	kazdict
сілейту	?	baseline
