# stem	patterns	forms	book-weight	bare — tools/discover.py
# candidates held back for being one letter from an entry. Most are
# that entry misspelt; some are words with an unlucky neighbour.
айа	14	12	35	33
хауіп	13	5	35	33
ақшолпан	4	4	32	33
тацит	13	6	29	33
бәйтік	11	7	25	33
хамиди	7	4	25	33
анатолия	7	7	22	33
йер	10	8	22	33
қаныкей	4	3	22	33
спанов	6	4	22	33
салықов	10	4	20	33
айра	4	4	16	33
нерон	3	3	16	33
байымбет	6	3	12	33
бернияз	8	4	12	33
құлжабай	4	3	12	33
текебай	5	3	7	33
қозыке	13	17	148	32
жүй	9	9	64	32
түбіжік	14	7	57	32
бөр	12	10	40	32
огуз	3	3	27	32
күйкен	3	3	20	32
сейтен	8	6	20	32
енесей	6	5	19	32
есқожа	5	5	19	32
сурков	8	4	18	32
тоқмақ	8	4	17	32
һаман	5	4	17	32
телеграм	6	3	15	32
айтқожа	3	3	12	32
мел	7	4	12	32
пантюркизм	8	5	12	32
рақымет	3	3	10	32
брест	5	3	9	32
куча	5	4	9	32
ефим	6	3	8	32
шахнаме	3	3	6	32
ниц	10	9	213	31
ореке	9	11	108	31
стадия	22	16	63	31
шарыш	13	6	62	31
бактрия	11	9	55	31
мый	13	10	42	31
жағрапия	8	7	40	31
баутин	12	7	37	31
қалипа	7	7	36	31
танакөз	15	7	34	31
самархан	9	6	30	31
фикция	13	8	29	31
малдыбай	5	4	27	31
пәрман	10	9	25	31
еңсеп	10	4	19	31
елегзи	4	3	16	31
нұрлыхан	5	4	15	31
алексеевна	4	4	14	31
қарқабат	5	3	14	31
құлтума	3	3	14	31
әлібай	4	3	13	31
тілеуке	3	3	13	31
алпамыш	6	3	12	31
жаулыбай	7	6	12	31
хива	3	3	10	31
бойко	4	3	8	31
процес	45	23	945	30
ште	15	14	152	30
қособа	6	6	61	30
рюмке	16	11	57	30
қабыш	18	9	48	30
дәркембай	13	8	45	30
сало	8	7	44	30
акима	5	5	42	30
арабстан	7	5	31	30
бадахшан	7	5	28	30
қанабек	16	7	26	30
байтоқ	11	5	25	30
исмайыл	13	5	25	30
досов	13	6	24	30
дьяков	13	7	24	30
хақан	8	6	23	30
тілеке	6	5	22	30
саура	5	5	18	30
фараб	11	5	15	30
көшей	4	3	14	30
темеш	7	3	13	30
вэй	6	3	12	30
инд	6	4	11	30
лун	3	3	11	30
