# stem	patterns	forms	book-weight	bare — tools/discover.py
# candidates, not entries: read them before admitting them.
# `bare` is how many books write the stem on its own.
қартқожақ	7	4	14	19
риккерт	7	3	14	19
мичурин	5	4	13	19
сәтбек	7	3	13	19
яровая	4	4	13	19
андреевна	3	3	12	19
костылецкий	4	3	12	19
малиновский	4	3	12	19
подрядчик	6	3	11	19
хүсейін	3	3	10	19
құлнияз	11	4	9	19
сизиф	7	3	9	19
мейрамбек	7	3	8	19
телерадио	4	3	8	19
кеңарал	7	3	6	19
көктүрік	32	16	81	18
бозұғлан	5	4	35	18
төбекөз	12	5	31	18
аллақұл	12	5	29	18
шоңмұрын	7	5	25	18
үштөбе	5	5	23	18
алмамбет	10	6	22	18
семетей	5	4	19	18
телғара	5	5	19	18
аккад	10	6	17	18
бәлшебек	11	5	17	18
деникин	6	3	15	18
тілеуқабақ	12	5	15	18
ергенеқон	5	4	14	18
практикант	9	5	14	18
ақшолақов	11	5	13	18
хинган	3	3	13	18
ахметович	6	4	12	18
ьібырай	4	3	12	18
григорян	4	4	11	18
гришка	3	3	10	18
алексейчик	5	3	9	18
көрпебай	4	3	9	18
шынқожа	4	4	9	18
ипполит	6	4	8	18
трофимович	7	3	7	18
ьістық	5	3	7	18
пуговицы	3	3	6	18
деррида	6	6	27	17
жиенқұл	13	5	27	17
эмпедокл	13	6	23	17
құттықия	4	4	22	17
дүтбай	4	3	21	17
бальмонт	9	5	18	17
жантурин	5	5	15	17
қоңырбике	3	3	14	17
аналитик	8	3	11	17
верещагин	8	4	11	17
қиынов	7	3	11	17
мәмбетнияз	10	3	11	17
мықтыбай	5	4	11	17
ақкөбік	8	3	10	17
бондаренко	3	3	10	17
коншин	3	3	10	17
қызыларай	4	3	10	17
башкирия	3	3	9	17
қосөзен	5	3	9	17
проходка	4	4	9	17
кенесарин	4	3	8	17
қаратүлей	4	3	8	17
рошаль	5	3	8	17
алдияров	7	3	6	17
педучилище	10	9	49	16
эрмитаж	15	7	49	16
корсика	9	7	29	16
адамилық	11	5	25	16
оғызнама	5	5	24	16
тотынама	4	4	24	16
еретик	6	3	23	16
перчатка	9	6	21	16
бәдіғұл	12	5	18	16
мақтарал	12	5	18	16
күлпаш	9	4	17	16
присяжный	8	4	17	16
симбиоз	7	4	17	16
дильтей	5	4	14	16
ксенофонт	7	3	13	16
раевский	4	3	13	16
шухов	5	3	13	16
маэстро	4	4	12	16
өлгий	4	3	12	16
татищев	8	4	12	16
армстронг	8	4	11	16
саламатов	7	3	11	16
хұсейін	4	4	11	16
