# given	admitted	docs_given	docs_admitted — Russian-document spellings
# replaced by the Kazakh spelling the books show people writing
жанадил	жанәділ	0	8
жанали	жанәлі	0	8
жанбиби	жанбибі	0	20
жанбырбаев	жаңбырбаев	3	13
жанбырбай	жаңбырбай	4	26
жангазы	жанғазы	4	26
жангалиев	жанғалиев	0	11
жангирхан	жәңгірхан	2	15
жандаулет	жандәулет	0	6
жанжигит	жанжігіт	2	41
жанибеков	жәнібеков	4	43
жанкелди	жанкелді	0	14
жанкожа	жанқожа	4	55
жансерик	жансерік	2	16
жансулу	жансұлу	2	11
жанторе	жантөре	3	44
жанузаков	жанұзақов	6	37
жанылай	жаңылай	0	5
жанылдык	жаңылдық	0	25
жанылсын	жаңылсын	0	22
жаркынай	жарқынай	0	5
жаркынбай	жарқынбай	0	16
жаркынбек	жарқынбек	0	6
жармухамедов	жармұхамедов	3	15
жарылгап	жарылғап	6	72
женисбай	жеңісбай	0	7
женисбек	жеңісбек	0	7
женисхан	жеңісхан	0	10
жетибаев	жетібаев	0	7
жетписбаев	жетпісбаев	3	22
жетписбай	жетпісбай	5	37
жолдаскали	жолдасқали	3	23
жубанов	жұбанов	31	124
жубатканов	жұбатқанов	0	5
жузбаев	жүзбаев	2	9
жулдызбек	жұлдызбек	0	3
жулдызхан	жұлдызхан	0	7
жумабаев	жұмабаев	20	222
жумабай	жұмабай	12	123
жумабек	жұмабек	5	84
жумагазиев	жұмағазиев	0	6
жумагазин	жұмағазин	0	5
жумагазы	жұмағазы	2	17
жумагали	жұмағали	29	116
жумагалиев	жұмағалиев	17	75
жумагелди	жұмагелді	0	9
жумагул	жұмағұл	5	73
жумадил	жұмаділ	2	22
жумадилда	жұмаділда	0	3
жумадилдаев	жұмаділдаев	0	12
жумадилов	жұмаділов	3	43
жумажан	жұмажан	6	40
жумакан	жұмақан	2	27
жумаканов	жұмақанов	0	5
жумакул	жұмақұл	0	7
жумалиев	жұмалиев	8	102
жумалы	жұмалы	2	16
жумамурат	жұмамұрат	0	5
жуманазар	жұманазар	0	4
жуманов	жұманов	0	13
жуматаев	жұматаев	0	7
жуматай	жұматай	4	90
жуматов	жұматов	2	13
жумахан	жұмахан	4	38
жумаханов	жұмаханов	0	9
жумахмет	жұмахмет	0	3
жумаш	жұмаш	8	63
жумашев	жұмашев	4	16
жумашов	жұмашов	0	4
жунисбек	жүнісбек	2	22
жунисбеков	жүнісбеков	0	7
жунисов	жүнісов	6	62
жусипбек	жүсіпбек	6	215
жусипбеков	жүсіпбеков	0	12
жусипов	жүсіпов	0	65
жылкайдар	жылқайдар	2	26
жылкыбаев	жылқыбаев	0	10
жылкыбай	жылқыбай	4	60
замзагул	зәмзәгүл	0	12
зауреш	зәуреш	7	44
зулпыхар	зұлпыхар	0	5
игиликов	игіліков	0	9
